fr,en,de,it
a bandeau droit ou,with straight band or,a gerader Belag oder,a fascia diritta o
a cassettes libre déchargement,with free cassette unloading,mit freier Kassettenentladung,a scarico cassette libero
a cassettes libre déchargement éventuellement,with optionally free unloading cassettes,mit optional freier Kassettenentladung,a cassette vuote scarico eventualmente
a chauffe mise en chauffe automatique,with automatic warming-up,mit automatischem Warmlauf,con riscaldamento automatico
a droite,to the right,nach rechts,a destra
a droite cas général,to the right general case,nach rechts allgemeiner Fall,a destra caso generale
a l'aide des pieds réglables mettez,"using the adjustable feet, set",mit hilfe der einstellbaren füße setzen,con i piedi regolabili mettere
a laide dun tournevis,using a screwdriver,mit einem Schraubendreher,con un cacciavite
a laide dune clé à fourche,use an open end wrench,mit einem Gabelschlüssel,usando una chiave a forcella
a refaire car picto faux,redo wrong pictogram,neu machen da piktogramm falsch,rifare perché pittogramma errato
a rollomatic,at rollomatic,bei rollomatic,da rollomatic
a réglage manuel,with manual adjustment,mit manueller Einstellung,a regolazione manuale
a réserver aux opérateurs expérimentés,for experienced operators only,erfahrenen bedienern vorbehalten,riservato agli operatori esperti
a une distance entre et mm,at a distance between and mm,in einem abstand von bis mm,a una distanza compresa tra e mm
a étape x w,a x w step,a x schritt w,a fase x w
a éviter absolument,to be absolutely avoided,absolut zu vermeiden,da evitare assolutamente
ablation,ablation,Abtragung,asportazione
abrasif,abrasive,schleifstoff,abrasivo
abrasifs,abrasives,schleifstoffe,abrasivi
absolue,absolute,absolut,assoluta
acalibration appui,steadyrest calibration,Reitstock-Kalibrierung,calibrazione del lunetto
access connection type,access connection type,Zugangsverbindungstyp,tipo di connessione di accesso
accessibles depuis options options globales,accessible from options global options settings,zugänglich über Optionen Globale Optionen Einstellungen,accessibili da opzioni impostazioni opzioni globali
accessibles depuis options options par défaut,accessible from options default options,zugänglich über Optionen Standardoptionen,accessibili da opzioni impostazioni cartelle
accessoire,accessory,Zubehör,accessorio
accessoires,accessories,Zubehör,accessori
accessoires nécessaires,accessories needed,notwendige Zubehöre,accessori necessari
accessoires page,accessories page,Zubehörseite,pagina accessori
accident,accident,unfall,incidente
accueil,home,Startseite,home
accumulateur,accumulator,Druckspeicher,accumulatore
accède au menu contextuel,accesses the context menu,ruft kontextmenü auf,accede al menù contestuale
accès,access,Zugang,accesso
accès au job manager,accessing job manager,zugang zum job manager,accesso al job manager
accès depuis bop,access from bop,Zugang von BOP aus,accesso a partire da BOP
accès depuis ce côté,access from this side,zugang von dieser seite,accesso da questo lato
accès depuis vgpro,access from vgpro,Zugang von vgpro aus,accesso da vgpro
accès depuis virtualgrind pro,access from virtualgrind pro,Zugang von VirtualGrind Pro aus,accesso a partire da virtualgrind pro
accès restreint,restricted access,eingeschränkter Zugriff,accesso limitato
accès réservé aux personnes qualifiées électriquement,access restricted to electrically qualified personnel,der zugang ist elektrofachkräften vorbehalten,accesso riservato alle persone qualificate elettricamente
accès total,full access,uneingeschränkter Zugriff,accesso totale
acier inox médical,medical stainless steel,medizinischer Edelstahl,acciaio inox medicale
acquisition dimage,image acquisition,Bilderfassung,acquisizione di immagini
acquisition machine,machine purchase,Erwerb der Maschine,acquisizione macchina
acquittement des alarmes,alarm clearance,quittieren der alarmmeldungen,ripristino degli allarmi
action,action,Aktion,azione
action inconnue,action unknown,aktion unbekannt,azione sconosciuta
action param inconnue,param action unknown,aktion param unbekannt,azione param sconosciuta
actions,actions,Maßnahmen,azioni
activate conv,activate conv,Konv. aktivieren,attivare conv
activation,activation,Aktivierung,attivazione
activation des fichiers log,enabling log files,aktivierung der log dateien,attivazione dei file log
activation mode job,job mode activation,Aktivierung des Job-Modus,attivazione modalità job
activation msmq,turning msmq on,einschalten von msmq,attivazione msmq
activation option caméra voir,camera option activation see,aktivierung der kameraoption siehe,attivazione opzione telecamera vedere
activation telnet client,turning telnet client on,einschalten von telnet client,attivazione telnet cliente
active laxe b,activate the B axis,aktivierung der b achse,attiva l'asse B
active laxe c,activate the C axis,aktivierung der c achse,attiva l'asse c
active laxe u,activate the U axis,aktivierung der u achse,attiva l'asse U
active laxe w,activate W axis,aktivierung der w achse,attiva l'asse W
active laxe x,activate x axis,aktivierung der x achse,attiva l'asse x
active laxe y,activate y axis,aktivierung der y achse,attiva l'asse y
active laxe z,activate z axis,aktivierung der z achse,attiva l'asse z
activer,activate,aktivieren,attivare
activer bit k,enable bit k,bit k aktivieren,attivare bit k
activer désactiver pare feu windows,turn windows firewall on or off,windows firewall ein oder ausschalten,attivare disattivare il firewall windows
activé,activated,aktiviert,attivato
activé dans ng,enabled in ng,in ng aktiviert,attivato in ng
adaptateur,adapter,Adapter,adattatore
adaptateur tr,adapter tr,adapter tr,adattatore tr
adaptateur w,adapter w,adapter w,adattatore w
adaptateurs schaublin et nann,Schaublin and Nann adapters,Adapter Schaublin und Nann,adattatori schaublin e nann
adresse,address,Adresse,indirizzo
adresse fabricant,manufacturer address,Herstelleranschrift,indirizzo fabbricante
adresse ip,IP address,IP-Adresse,indirizzo IP
